ident,latitude_deg,longitude_deg
LFPG,49.0128,2.55
LFPO,48.7233,2.3794
EGLL,51.4700,-0.4543
EGGW,51.8747,-0.3683
EGKK,51.1481,-0.1903
KJFK,40.6398,-73.7789
KEWR,40.6895,-74.1745
KLGA,40.7769,-73.8740
KLAX,33.9425,-118.4081
KSFO,37.6190,-122.3748
KORD,41.9786,-87.9047
KMIA,25.7954,-80.2901
KATL,33.6367,-84.4281
KDFW,32.8968,-97.0380
KDEN,39.8617,-104.6731
KSEA,47.4502,-122.3088
KIAH,29.9844,-95.3414
KPHX,33.4343,-112.0081
KLAS,36.0801,-115.1523
KMCO,28.4294,-81.3090
EDDF,50.0379,8.5622
EDDM,48.3538,11.7750
EDDL,51.2895,6.7668
LEMD,40.4719,-3.5626
LEBL,41.2971,2.0785
LFMN,43.6584,7.2158
LFLL,45.7264,5.0908
LSGG,46.2383,6.1094
ENGM,60.1939,11.1004
LFML,43.4393,5.2154
LFBO,43.6291,1.3638
OMDB,25.2532,55.3657
OTHH,25.2731,51.6080
RJTT,35.5494,139.7798
RJAA,35.7647,140.3863
RKSI,37.4602,126.4407
WSSS,1.3644,103.9915
VTBS,13.6901,100.7501
VHHH,22.3089,113.9185
ZBAA,40.0801,116.5846
ZSPD,31.1434,121.8052
ZGGG,23.3924,113.2988
YSSY,-33.9399,151.1753
YMML,-37.6690,144.8410
NZAA,-37.0082,174.7850
NZWN,-41.3272,174.8050
SAEZ,-34.8222,-58.5358
SCEL,-33.3930,-70.7858
SBGR,-23.4356,-46.4731
MMMX,19.4363,-99.0721
MMUN,21.0370,-86.8771
